year,unitid,inst_name,state_name,years_after_entry,earnings_female_mean,earnings_male_mean
2014,161873,University of Baltimore,Maryland,10,59100,70800
2014,161873,University of Baltimore,Maryland,6,42300,49100
2014,161873,University of Baltimore,Maryland,8,,
2014,162007,Bowie State University,Maryland,10,46400,52700
2014,162007,Bowie State University,Maryland,6,34100,34200
2014,162007,Bowie State University,Maryland,8,,
2014,162061,Capitol Technology University,Maryland,10,Suppressed data,Suppressed data
2014,162061,Capitol Technology University,Maryland,6,Suppressed data,Suppressed data
2014,162061,Capitol Technology University,Maryland,8,,
2014,162210,Washington Adventist University,Maryland,10,47500,43800
2014,162210,Washington Adventist University,Maryland,6,45900,48500
2014,162210,Washington Adventist University,Maryland,8,,
2014,162283,Coppin State University,Maryland,10,40800,44500
2014,162283,Coppin State University,Maryland,6,31600,32000
2014,162283,Coppin State University,Maryland,8,,
2014,162584,Frostburg State University,Maryland,10,42600,51200
2014,162584,Frostburg State University,Maryland,6,31400,36000
2014,162584,Frostburg State University,Maryland,8,,
2014,162654,Goucher College,Maryland,10,51200,62400
2014,162654,Goucher College,Maryland,6,31100,33500
2014,162654,Goucher College,Maryland,8,,
2014,162681,Kaplan University-Hagerstown Campus,Maryland,10,35400,53100
2014,162681,Kaplan University-Hagerstown Campus,Maryland,6,26300,37200
2014,162681,Kaplan University-Hagerstown Campus,Maryland,8,,
2014,162760,Hood College,Maryland,10,45800,60000
2014,162760,Hood College,Maryland,6,36300,39700
2014,162760,Hood College,Maryland,8,,
2014,162928,Johns Hopkins University,Maryland,10,83500,97100
2014,162928,Johns Hopkins University,Maryland,6,62800,74700
2014,162928,Johns Hopkins University,Maryland,8,,
2014,163046,Loyola University Maryland,Maryland,10,68900,93600
2014,163046,Loyola University Maryland,Maryland,6,50400,54000
2014,163046,Loyola University Maryland,Maryland,8,,
2014,163204,University of Maryland-University College,Maryland,10,49100,71900
2014,163204,University of Maryland-University College,Maryland,6,42600,57200
2014,163204,University of Maryland-University College,Maryland,8,,
2014,163259,University of Maryland-Baltimore,Maryland,10,97200,164500
2014,163259,University of Maryland-Baltimore,Maryland,6,74500,99200
2014,163259,University of Maryland-Baltimore,Maryland,8,,
2014,163268,University of Maryland-Baltimore County,Maryland,10,53600,65200
2014,163268,University of Maryland-Baltimore County,Maryland,6,38900,46600
2014,163268,University of Maryland-Baltimore County,Maryland,8,,
2014,163286,University of Maryland-College Park,Maryland,10,63300,78400
2014,163286,University of Maryland-College Park,Maryland,6,45300,54400
2014,163286,University of Maryland-College Park,Maryland,8,,
2014,163295,Maryland Institute College of Art,Maryland,10,39800,43100
2014,163295,Maryland Institute College of Art,Maryland,6,29800,31200
2014,163295,Maryland Institute College of Art,Maryland,8,,
2014,163338,University of Maryland Eastern Shore,Maryland,10,38400,43000
2014,163338,University of Maryland Eastern Shore,Maryland,6,28700,29700
2014,163338,University of Maryland Eastern Shore,Maryland,8,,
2014,163453,Morgan State University,Maryland,10,41400,44000
2014,163453,Morgan State University,Maryland,6,30100,30600
2014,163453,Morgan State University,Maryland,8,,
2014,163462,Mount St Mary's University,Maryland,10,51800,64900
2014,163462,Mount St Mary's University,Maryland,6,41500,42800
2014,163462,Mount St Mary's University,Maryland,8,,
2014,163532,Ner Israel Rabbinical College,Maryland,10,Suppressed data,Suppressed data
2014,163532,Ner Israel Rabbinical College,Maryland,6,Suppressed data,Suppressed data
2014,163532,Ner Israel Rabbinical College,Maryland,8,,
2014,163578,Notre Dame of Maryland University,Maryland,10,Suppressed data,Suppressed data
2014,163578,Notre Dame of Maryland University,Maryland,6,Suppressed data,Suppressed data
2014,163578,Notre Dame of Maryland University,Maryland,8,,
