year,unitid,inst_name,state_name,inst_control,institution_level,hbcu,urban_centric_locale,rev_tuition_fees_gross,rev_total_current,exp_instruc_total,exp_total_current
2016,161873,University of Baltimore,Maryland,Public,Four or more years,No,"City, large",64148904,116699800,48737504,112845248
2016,162007,Bowie State University,Maryland,Public,Four or more years,Yes,"Suburb, large",38934396,148600096,38159948,105669920
2016,162061,Capitol Technology University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",13093469,16493667,3390910,15229484
2016,162210,Washington Adventist University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",22102872,33828896,10217458,33119692
2016,162283,Coppin State University,Maryland,Public,Four or more years,Yes,"City, large",14986391,83093536,25961526,88736976
2016,162584,Frostburg State University,Maryland,Public,Four or more years,No,"Suburb, small",38662112,117801440,41397304,113558192
2016,162654,Goucher College,Maryland,Private not-for-profit,Four or more years,No,"City, small",67135000,82220000,25458290,71360000
2016,162681,Kaplan University-Hagerstown Campus,Maryland,Private for-profit,Four or more years,No,"Suburb, midsize",8542509,9412621,1607068,7550206
2016,162760,Hood College,Maryland,Private not-for-profit,Four or more years,No,"City, small",45517216,51101640,14928490,40629312
2016,162928,Johns Hopkins University,Maryland,Private not-for-profit,Four or more years,No,"City, large",918803968,6349066752,1950062000,5624242176
2016,163046,Loyola University Maryland,Maryland,Private not-for-profit,Four or more years,No,"City, large",212967536,241647280,67481980,206130448
2016,163204,University of Maryland-University College,Maryland,Public,Four or more years,No,"Suburb, large",324341152,402507200,102822744,388076512
2016,163259,"University of Maryland, Baltimore",Maryland,Public,Four or more years,No,"City, large",135909968,1152407040,220813650,1091432960
2016,163268,University of Maryland-Baltimore County,Maryland,Public,Four or more years,No,"Suburb, large",127999712,428093664,127958770,405829120
2016,163286,University of Maryland-College Park,Maryland,Public,Four or more years,No,"Suburb, large",595707648,2033139456,521845820,1899950720
2016,163295,Maryland Institute College of Art,Maryland,Private not-for-profit,Four or more years,No,"City, large",92621464,92684464,32150224,81124936
2016,163338,University of Maryland Eastern Shore,Maryland,Public,Four or more years,Yes,"Town, fringe",28224412,116118368,46150680,123896912
2016,163453,Morgan State University,Maryland,Public,Four or more years,Yes,"City, large",66372368,263203872,65480284,238527520
2016,163462,Mount St Mary's University,Maryland,Private not-for-profit,Four or more years,No,"Town, fringe",69020512,67457944,20673276,67241904
2016,163532,Ner Israel Rabbinical College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",8919720,11566753,2609821,12059253
2016,163578,Notre Dame of Maryland University,Maryland,Private not-for-profit,Four or more years,No,"City, large",40245844,49019592,23113228,48522208
2016,163851,Salisbury University,Maryland,Public,Four or more years,No,"Suburb, small",75243016,187231408,64546150,173051264
2016,163912,St Mary's College of Maryland,Maryland,Public,Four or more years,No,"Suburb, small",24905680,74917296,26021202,67779960
2016,163921,Sojourner-Douglass College,Maryland,Private not-for-profit,Four or more years,No,"City, large",,,,
2016,163976,St. John's College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",22772988,57459520,10601502,29425336
2016,164076,Towson University,Maryland,Public,Four or more years,No,"City, small",184554784,430392480,140970320,402400864
2016,164085,Maryland University of Integrative Health,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",16428479,17113442,4758240,15372080
2016,164146,University System of Maryland,Maryland,Public,Four or more years,No,"City, large",,65317884,,27865740
2016,164155,United States Naval Academy,Maryland,Public,Four or more years,No,"Suburb, large",,466826144,181718500,464899360
2016,164173,Stevenson University,Maryland,Private not-for-profit,Four or more years,No,"Rural, fringe",101669952,117735208,40318748,97498576
2016,164216,Washington College,Maryland,Private not-for-profit,Four or more years,No,"Town, distant",62987772,73685568,22578308,69264512
2016,164270,McDaniel College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, small",69720000,73955000,23725000,64386000
2016,212452,Faith Theological Seminary,Maryland,Private not-for-profit,Four or more years,No,"City, large",678402,822095,87668,1016348
2016,404480,University System of Maryland-Research Centers,Maryland,Public,Four or more years,No,"Suburb, large",,51419940,,47941212
2016,430184,Strayer University-Maryland,Maryland,Private for-profit,Four or more years,No,"Suburb, large",40612888,33088620,4170444,23318386
2016,434937,Yeshiva College of the Nations Capital,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",416174,9026587,264409,8855932
2016,434973,University of Phoenix-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",453953,429699,224222,905746
2016,446394,Maple Springs Baptist Bible College and Seminary,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",148247,336327,90900,318489
2016,446914,ITT Technical Institute-Owings Mills,Maryland,Private for-profit,Four or more years,No,"Suburb, large",,,,
2016,462372,ITT Technical Institute-Hanover,Maryland,Private for-profit,Four or more years,No,"Suburb, large",,,,
2016,476601,Bais HaMedrash and Mesivta of Baltimore,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",2218211,1929381,1020384,1797293
2015,161873,University of Baltimore,Maryland,Public,Four or more years,No,"City, large",67440504,114757616,48085490,113704656
2015,162007,Bowie State University,Maryland,Public,Four or more years,Yes,"Suburb, large",36360208,152878496,35698148,102718920
2015,162061,Capitol Technology University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",12618707,14788626,3431900,14322617
2015,162210,Washington Adventist University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",20851208,30240980,9850684,29405668
2015,162283,Coppin State University,Maryland,Public,Four or more years,Yes,"City, large",15434857,94546672,28307336,87334632
2015,162584,Frostburg State University,Maryland,Public,Four or more years,No,"Suburb, small",39457792,117235320,40129670,110474576
2015,162654,Goucher College,Maryland,Private not-for-profit,Four or more years,No,"City, small",65282000,54319000,26344952,70783000
2015,162681,Kaplan University-Hagerstown Campus,Maryland,Private for-profit,Four or more years,No,"Suburb, midsize",20368528,10794360,2337626,8870630
2015,162760,Hood College,Maryland,Private not-for-profit,Four or more years,No,"City, small",46482664,36359936,14941586,41847504
2015,162928,Johns Hopkins University,Maryland,Private not-for-profit,Four or more years,No,"City, large",866235008,5456308224,1879545000,5332284928
2015,163046,Loyola University Maryland,Maryland,Private not-for-profit,Four or more years,No,"City, large",206223120,199719984,67180870,198950976
2015,163204,University of Maryland-University College,Maryland,Public,Four or more years,No,"Suburb, large",312852064,386628192,95559350,359513248
2015,163259,"University of Maryland, Baltimore",Maryland,Public,Four or more years,No,"City, large",128016904,1124976128,218942080,1037493440
2015,163268,University of Maryland-Baltimore County,Maryland,Public,Four or more years,No,"Suburb, large",127309784,426017824,119880900,390534720
2015,163286,University of Maryland-College Park,Maryland,Public,Four or more years,No,"Suburb, large",558809216,1953507200,496374900,1819935232
2015,163295,Maryland Institute College of Art,Maryland,Private not-for-profit,Four or more years,No,"City, large",92471536,82519272,31645028,79787808
2015,163338,University of Maryland Eastern Shore,Maryland,Public,Four or more years,Yes,"Town, fringe",30011012,139663104,40221760,120395840
2015,163453,Morgan State University,Maryland,Public,Four or more years,Yes,"City, large",60245452,263156560,59077148,214673472
2015,163462,Mount St Mary's University,Maryland,Private not-for-profit,Four or more years,No,"Town, fringe",69048648,68213632,20941316,70406520
2015,163532,Ner Israel Rabbinical College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",9093827,13314273,2538259,11357108
2015,163578,Notre Dame of Maryland University,Maryland,Private not-for-profit,Four or more years,No,"City, large",42667796,44080872,22658772,46252428
2015,163851,Salisbury University,Maryland,Public,Four or more years,No,"Suburb, small",73127960,241175728,63093104,162296112
2015,163912,St Mary's College of Maryland,Maryland,Public,Four or more years,No,"Suburb, small",26305140,86689776,26315936,69385832
2015,163921,Sojourner-Douglass College,Maryland,Private not-for-profit,Four or more years,No,"City, large",,,,
2015,163976,St John's College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",20790656,19791300,10296644,30364898
2015,164076,Towson University,Maryland,Public,Four or more years,No,"City, small",181600592,419896768,131310776,391143616
2015,164085,Maryland University of Integrative Health,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",14056023,15187956,4246792,13640200
2015,164146,University System of Maryland,Maryland,Public,Four or more years,No,"Suburb, large",,59184268,,28635692
2015,164155,United States Naval Academy,Maryland,Public,Four or more years,No,"Suburb, large",,485599296,189994450,484282304
2015,164173,Stevenson University,Maryland,Private not-for-profit,Four or more years,No,"Rural, fringe",97324536,95224328,41106172,99211264
2015,164216,Washington College,Maryland,Private not-for-profit,Four or more years,No,"Town, distant",60535456,74183416,20922188,66613736
2015,164270,McDaniel College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, small",70263000,55777000,22822000,63112000
2015,212452,Faith Theological Seminary,Maryland,Private not-for-profit,Four or more years,No,"City, large",680581,1149219,170772,938055
2015,369817,Bethel Seminary of the East,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",,,,
2015,404480,University System of Maryland-Research Centers,Maryland,Public,Four or more years,No,"Suburb, large",,59969044,,49170636
2015,430184,Strayer University-Maryland,Maryland,Private for-profit,Four or more years,No,"Suburb, large",38074912,32273490,4628502,23156676
2015,434937,Yeshiva College of the Nations Capital,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",394546,8478622,314679,8859018
2015,434973,University of Phoenix-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",1742781,1631435,568443,2074656
2015,446394,Maple Springs Baptist Bible College and Seminary,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",167193,270472,84425,295801
2015,446914,ITT Technical Institute-Owings Mills,Maryland,Private for-profit,Four or more years,No,"Suburb, large",,,,
2015,462372,ITT Technical Institute-Hanover,Maryland,Private for-profit,Four or more years,No,"Suburb, large",,,,
2015,476601,Bais HaMedrash and Mesivta of Baltimore,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",2113795,1883847,989199,1675859
2015,482501,DeVry University-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",,,,
2014,161873,University of Baltimore,Maryland,Public,Four or more years,No,"City, large",69573704,115530608,46398800,111980392
2014,162007,Bowie State University,Maryland,Public,Four or more years,Yes,"Suburb, large",37119176,110744272,34730388,98876096
2014,162061,Capitol Technology University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",12051838,15969251,3500320,15828025
2014,162210,Washington Adventist University,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",17641200,30095416,10033111,29824636
2014,162283,Coppin State University,Maryland,Public,Four or more years,Yes,"City, large",15476999,100865408,23736752,76481056
2014,162584,Frostburg State University,Maryland,Public,Four or more years,No,"Suburb, small",36579668,119126024,38977076,107709560
2014,162654,Goucher College,Maryland,Private not-for-profit,Four or more years,No,"City, small",61968000,57776000,26126588,69794000
2014,162681,Kaplan University-Hagerstown Campus,Maryland,Private for-profit,Four or more years,No,"Suburb, midsize",12778146,12244630,2736454,9431527
2014,162760,Hood College,Maryland,Private not-for-profit,Four or more years,No,"City, small",47326044,46769532,14938981,41817568
2014,162928,Johns Hopkins University,Maryland,Private not-for-profit,Four or more years,No,"City, large",802769024,5217895936,1756405000,5091367936
2014,163046,Loyola University Maryland,Maryland,Private not-for-profit,Four or more years,No,"City, large",202827616,219300896,65931880,197844144
2014,163204,University of Maryland-University College,Maryland,Public,Four or more years,No,"Suburb, large",297307904,368113056,91450360,336981344
2014,163259,University of Maryland-Baltimore,Maryland,Public,Four or more years,No,"City, large",121538688,1073513088,221741400,1027838080
2014,163268,University of Maryland-Baltimore County,Maryland,Public,Four or more years,No,"Suburb, large",122461768,420966944,117753230,386241408
2014,163286,University of Maryland-College Park,Maryland,Public,Four or more years,No,"Suburb, large",522949152,1813041408,524188960,1763134848
2014,163295,Maryland Institute College of Art,Maryland,Private not-for-profit,Four or more years,No,"City, large",92460912,87523792,30512588,78914216
2014,163338,University of Maryland Eastern Shore,Maryland,Public,Four or more years,Yes,"Town, fringe",31381650,157926544,41000252,116259768
2014,163453,Morgan State University,Maryland,Public,Four or more years,Yes,"City, large",57474324,241877616,65955504,204916928
2014,163462,Mount St Mary's University,Maryland,Private not-for-profit,Four or more years,No,"Town, fringe",68218176,68440192,20617572,66921864
2014,163532,Ner Israel Rabbinical College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",9476741,9951135,2516470,12082848
2014,163578,Notre Dame of Maryland University,Maryland,Private not-for-profit,Four or more years,No,"City, large",41530048,43657460,22726624,47859084
2014,163851,Salisbury University,Maryland,Public,Four or more years,No,"Suburb, small",69654784,198749728,60244296,155140240
2014,163912,St Mary's College of Maryland,Maryland,Public,Four or more years,No,"Suburb, small",27071728,78239920,26547932,65535992
2014,163921,Sojourner-Douglass College,Maryland,Private not-for-profit,Four or more years,No,"City, large",,,,
2014,163976,St John's College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",21221342,24740250,10012211,29256176
2014,164076,Towson University,Maryland,Public,Four or more years,No,"City, small",177329264,406640288,128638090,380504320
2014,164085,Maryland University of Integrative Health,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",11304267,12437175,4730464,12201051
2014,164146,University System of Maryland,Maryland,Public,Four or more years,No,"Suburb, large",,62475128,,29038842
2014,164155,United States Naval Academy,Maryland,Public,Four or more years,No,"Suburb, large",,472350304,186841730,470467456
2014,164173,Stevenson University,Maryland,Private not-for-profit,Four or more years,No,"Rural, fringe",93274800,95438680,38127684,97161808
2014,164216,Washington College,Maryland,Private not-for-profit,Four or more years,No,"Town, distant",59407524,74832488,21299678,67210720
2014,164270,McDaniel College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, small",70329000,63944000,24012000,64685000
2014,212452,Faith Theological Seminary,Maryland,Private not-for-profit,Four or more years,No,"City, large",656576,699112,128770,881911
2014,369817,Bethel Seminary of the East,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",,,,
2014,404480,University System of Maryland-Research Centers,Maryland,Public,Four or more years,No,"Suburb, large",,51017064,,47291184
2014,430184,Strayer University-Maryland,Maryland,Private for-profit,Four or more years,No,"Suburb, large",37292292,33072536,4298640,24209448
2014,434937,Yeshiva College of the Nations Capital,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",286750,8461287,293727,8284411
2014,434973,University of Phoenix-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",3309247,3233359,1218018,3458063
2014,446394,Maple Springs Baptist Bible College and Seminary,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",210407,335334,79685,283326
